StartDate,EndDate,Holiday 2024
1-Jan,1-Jan,New Year's Day
25-Jan,25-Jan,Thaipusam
1-Feb,1-Feb,Federal Territory Day
10-Feb,12-Feb,Chinese New Year
28-Mar,28-Mar,Nuzul Al-Quran
10-Apr,11-Apr,Hari Raya Aidilfitri
1-May,1-May,Labour Day
22-May,22-May,Wesak Day
3-Jun,3-Jun,Agong's Birthday
17-Jun,17-Jun,Hari Raya Haji
7-Jul,8-Jul,Awal Muharram
31-Aug,31-Aug,Merdeka Day
16-Sep,16-Sep,Prophet Muhammad's Birthday
16-Sep,16-Sep,Malaysia Day
31-Oct,31-Oct,Deepavali
25-Dec,25-Dec,Christmas Day
24-May,2-Jun,Penggal 1
13-Sep,21-Sep,Penggal 2
30-Oct,30-Oct,Raya Holiday
20-Dec,28-Dec,Penggal 3
