route_no,date,ridership_total,hour,depot,is_holiday,hours_left,hours_elapsed,avg_ridership_per_hour,estimated_ridership_remaining,day_of_week,month,depot_enc,route_no_enc
100,2024-01-01,34.285714285714285,21,10,1,3,21,1.4285714285714286,4.285714285714286,0,1,-1,1
100,2024-01-02,30.545454545454547,22,10,0,2,22,1.2727272727272727,2.5454545454545454,1,1,-1,1
100,2024-01-03,31.200000000000003,20,10,0,4,20,1.3,5.2,2,1,-1,1
100,2024-01-04,21.6,20,10,0,4,20,0.9,3.6,3,1,-1,1
100,2024-01-05,37.714285714285715,21,10,0,3,21,1.5714285714285714,4.714285714285714,4,1,-1,1
100,2024-01-06,56.727272727272734,22,10,0,2,22,2.3636363636363638,4.7272727272727275,5,1,-1,1
100,2024-01-07,53.333333333333336,18,10,0,6,18,2.2222222222222223,13.333333333333334,6,1,-1,1
100,2024-01-08,32.0,18,10,0,6,18,1.3333333333333333,8.0,0,1,-1,1
100,2024-01-09,25.09090909090909,22,10,0,2,22,1.0454545454545454,2.090909090909091,1,1,-1,1
100,2024-01-10,26.18181818181818,22,10,0,2,22,1.0909090909090908,2.1818181818181817,2,1,-1,1
100,2024-01-11,32.0,21,10,0,3,21,1.3333333333333333,4.0,3,1,-1,1
100,2024-01-12,43.63636363636363,22,10,0,2,22,1.8181818181818181,3.6363636363636362,4,1,-1,1
100,2024-01-13,37.714285714285715,21,10,0,3,21,1.5714285714285714,4.714285714285714,5,1,-1,1
100,2024-01-14,37.714285714285715,21,10,0,3,21,1.5714285714285714,4.714285714285714,6,1,-1,1
100,2024-01-15,42.285714285714285,21,10,0,3,21,1.7619047619047619,5.285714285714286,0,1,-1,1
100,2024-01-16,31.200000000000003,20,10,0,4,20,1.3,5.2,1,1,-1,1
100,2024-01-17,34.8,20,10,0,4,20,1.45,5.8,2,1,-1,1
100,2024-01-18,32.0,18,10,0,6,18,1.3333333333333333,8.0,3,1,-1,1
100,2024-01-19,30.0,20,10,0,4,20,1.25,5.0,4,1,-1,1
100,2024-01-20,45.71428571428571,21,10,0,3,21,1.9047619047619047,5.7142857142857135,5,1,-1,1
100,2024-01-21,45.81818181818182,22,10,0,2,22,1.9090909090909092,3.8181818181818183,6,1,-1,1
100,2024-01-22,32.0,21,10,0,3,21,1.3333333333333333,4.0,0,1,-1,1
100,2024-01-23,22.666666666666664,18,10,0,6,18,0.9444444444444444,5.666666666666666,1,1,-1,1
100,2024-01-24,31.200000000000003,20,10,0,4,20,1.3,5.2,2,1,-1,1
100,2024-01-25,25.142857142857146,21,10,1,3,21,1.0476190476190477,3.1428571428571432,3,1,-1,1
100,2024-01-26,27.789473684210527,19,10,0,5,19,1.1578947368421053,5.7894736842105265,4,1,-1,1
100,2024-01-27,50.400000000000006,20,10,0,4,20,2.1,8.4,5,1,-1,1
100,2024-01-28,39.599999999999994,20,10,0,4,20,1.65,6.6,6,1,-1,1
100,2024-01-29,22.857142857142854,21,10,0,3,21,0.9523809523809523,2.8571428571428568,0,1,-1,1
100,2024-01-30,16.0,21,10,0,3,21,0.6666666666666666,2.0,1,1,-1,1
100,2024-01-31,34.8,20,10,0,4,20,1.45,5.8,2,1,-1,1
100,2024-02-01,34.285714285714285,21,10,1,3,21,1.4285714285714286,4.285714285714286,3,2,-1,1
100,2024-02-02,44.72727272727273,22,10,0,2,22,1.8636363636363635,3.727272727272727,4,2,-1,1
100,2024-02-03,61.09090909090909,22,10,0,2,22,2.5454545454545454,5.090909090909091,5,2,-1,1
