"depot","route_no","line_id"
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452002
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"452",U452001
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551002
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,"551",U551001
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002002
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
