disruption_depot_id,disruption_depot_name,disruption_route_id,disruption_route_name,disruption_timestamp,lat_disruption,lng_disruption,disruption_location,passenger_on_bus,disruption_depot_lat,disruption_depot_lng,weather_condition,disruption_time,disruption_traffic_status,disruption_weather_impact,weather_label,disruption_day_of_week,is_weekend,disruption_day_label,disruption_bus_no,is_peak_hour,bus_replacement_priority,bus_replacement_busstop_id_nearby,bus_replacement_route_type,bus_replacement_distance_to_disruption,deadmileage_to_disruption,bus_replacement_route_no,geo_distance_to_disruption,bus_stop_order_from_hub,travel_time_min_from_hub,best_route,disruption_nearby_busstop_latitude,disruption_nearby_busstop_longitude,bus_replacement_route_type_encoded,is_peak_hour_encoded
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,3,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WVN5509,True,3,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,3,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WVN5509,True,3,54015,UTAMA,31.4,5.0,420,0.0,2,93.0,0,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,3,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WVN5509,True,3,49497,TEMPATAN,1.038,7.6,T351,0.0,3,4.9,0,3.134093,101.753511,1,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,22,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WB4638T,True,1,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,22,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WB4638T,True,1,54015,UTAMA,31.4,5.0,420,0.0,2,93.0,0,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,22,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WB4638T,True,1,49497,TEMPATAN,1.038,7.6,T351,0.0,3,4.9,0,3.134093,101.753511,1,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,7,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,VFA5163,True,3,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,7,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,VFA5163,True,3,54015,UTAMA,31.4,5.0,420,0.0,2,93.0,0,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,7,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,VFA5163,True,3,49497,TEMPATAN,1.038,7.6,T351,0.0,3,4.9,0,3.134093,101.753511,1,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,12,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WVP2513,True,2,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,12,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WVP2513,True,2,54015,UTAMA,31.4,5.0,420,0.0,2,93.0,0,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-30 10:37:00,3.13409,101.75351,HUB PANDAN INDAH,12,3.13422,101.7277009,Heavy rain at times,Morning,Peak,1,Bad Weather,0,0,Monday,WVP2513,True,2,49497,TEMPATAN,1.038,7.6,T351,0.0,3,4.9,0,3.134093,101.753511,1,1
4,Maluri,474,300,2024-12-30 12:47:00,3.13409,101.75351,AJ468 Hub Pandan Indah,6,3.13422,101.7277009,Moderate or heavy rain shower,Afternoon,Non-Peak,1,Bad Weather,0,0,Monday,VGJ8965,False,3,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,0
4,Maluri,474,300,2024-12-30 12:47:00,3.13409,101.75351,AJ468 Hub Pandan Indah,6,3.13422,101.7277009,Moderate or heavy rain shower,Afternoon,Non-Peak,1,Bad Weather,0,0,Monday,VGJ8965,False,3,54015,UTAMA,31.4,5.0,420,0.0,2,69.8,0,3.134093,101.753511,0,0
4,Maluri,474,300,2024-12-30 12:47:00,3.13409,101.75351,AJ468 Hub Pandan Indah,6,3.13422,101.7277009,Moderate or heavy rain shower,Afternoon,Non-Peak,1,Bad Weather,0,0,Monday,VGJ8965,False,3,49497,TEMPATAN,1.038,7.6,T351,0.0,3,3.7,0,3.134093,101.753511,1,0
4,Maluri,474,300,2024-12-31 09:10:00,3.13409,101.75351,HUB PANDAN INDAH,1,3.13422,101.7277009,Patchy light drizzle,Morning,Peak,0,Normal,1,0,Tuesday,VFJ4933,True,3,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-31 09:10:00,3.13409,101.75351,HUB PANDAN INDAH,1,3.13422,101.7277009,Patchy light drizzle,Morning,Peak,0,Normal,1,0,Tuesday,VFJ4933,True,3,54015,UTAMA,31.4,5.0,420,0.0,2,69.8,0,3.134093,101.753511,0,1
4,Maluri,474,300,2024-12-31 09:10:00,3.13409,101.75351,HUB PANDAN INDAH,1,3.13422,101.7277009,Patchy light drizzle,Morning,Peak,0,Normal,1,0,Tuesday,VFJ4933,True,3,49497,TEMPATAN,1.038,7.6,T351,0.0,3,3.7,0,3.134093,101.753511,1,1
4,Maluri,474,300,2024-12-31 11:00:00,3.13409,101.75351,HUB PANDAN INDAH,25,3.13422,101.7277009,Patchy rain possible,Morning,Non-Peak,0,Normal,1,0,Tuesday,VEW7052,False,1,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,0
4,Maluri,474,300,2024-12-31 11:00:00,3.13409,101.75351,HUB PANDAN INDAH,25,3.13422,101.7277009,Patchy rain possible,Morning,Non-Peak,0,Normal,1,0,Tuesday,VEW7052,False,1,54015,UTAMA,31.4,5.0,420,0.0,2,52.3,0,3.134093,101.753511,0,0
4,Maluri,474,300,2024-12-31 11:00:00,3.13409,101.75351,HUB PANDAN INDAH,25,3.13422,101.7277009,Patchy rain possible,Morning,Non-Peak,0,Normal,1,0,Tuesday,VEW7052,False,1,49497,TEMPATAN,1.038,7.6,T351,0.0,3,2.8,0,3.134093,101.753511,1,0
4,Maluri,474,300,2024-12-31 15:43:00,3.13409,101.75351,HUB PANDAN INDAH,26,3.13422,101.7277009,Patchy rain possible,Afternoon,Non-Peak,0,Normal,1,0,Tuesday,VEQ7949,False,1,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,0
4,Maluri,474,300,2024-12-31 15:43:00,3.13409,101.75351,HUB PANDAN INDAH,26,3.13422,101.7277009,Patchy rain possible,Afternoon,Non-Peak,0,Normal,1,0,Tuesday,VEQ7949,False,1,54015,UTAMA,31.4,5.0,420,0.0,2,52.3,0,3.134093,101.753511,0,0
4,Maluri,474,300,2024-12-31 15:43:00,3.13409,101.75351,HUB PANDAN INDAH,26,3.13422,101.7277009,Patchy rain possible,Afternoon,Non-Peak,0,Normal,1,0,Tuesday,VEQ7949,False,1,49497,TEMPATAN,1.038,7.6,T351,0.0,3,2.8,0,3.134093,101.753511,1,0
4,Maluri,474,300,2025-01-01 10:49:00,3.13409,101.75351,HUB PANDAN INDAH,23,3.13422,101.7277009,Moderate rain at times,Morning,Peak,1,Bad Weather,2,0,Wednesday,VEW7052,True,1,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,1
4,Maluri,474,300,2025-01-01 10:49:00,3.13409,101.75351,HUB PANDAN INDAH,23,3.13422,101.7277009,Moderate rain at times,Morning,Peak,1,Bad Weather,2,0,Wednesday,VEW7052,True,1,54015,UTAMA,31.4,5.0,420,0.0,2,93.0,0,3.134093,101.753511,0,1
4,Maluri,474,300,2025-01-01 10:49:00,3.13409,101.75351,HUB PANDAN INDAH,23,3.13422,101.7277009,Moderate rain at times,Morning,Peak,1,Bad Weather,2,0,Wednesday,VEW7052,True,1,49497,TEMPATAN,1.038,7.6,T351,0.0,3,4.9,0,3.134093,101.753511,1,1
4,Maluri,474,300,2025-01-01 10:49:00,3.13409,101.75351,HUB PANDAN INDAH,4,3.13422,101.7277009,Moderate rain at times,Morning,Peak,1,Bad Weather,2,0,Wednesday,WUU6736,True,3,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,1
4,Maluri,474,300,2025-01-01 10:49:00,3.13409,101.75351,HUB PANDAN INDAH,4,3.13422,101.7277009,Moderate rain at times,Morning,Peak,1,Bad Weather,2,0,Wednesday,WUU6736,True,3,54015,UTAMA,31.4,5.0,420,0.0,2,93.0,0,3.134093,101.753511,0,1
4,Maluri,474,300,2025-01-01 10:49:00,3.13409,101.75351,HUB PANDAN INDAH,4,3.13422,101.7277009,Moderate rain at times,Morning,Peak,1,Bad Weather,2,0,Wednesday,WUU6736,True,3,49497,TEMPATAN,1.038,7.6,T351,0.0,3,4.9,0,3.134093,101.753511,1,1
4,Maluri,474,300,2025-01-02 10:51:00,3.13409,101.75351,AJ468 Hub Pandan Indah,12,3.13422,101.7277009,Patchy rain possible,Morning,Peak,0,Normal,3,0,Thursday,VER7240,True,2,53944,UTAMA,0.001,5.0,420,0.0,1,0.0,1,3.134093,101.753511,0,1
4,Maluri,474,300,2025-01-02 10:51:00,3.13409,101.75351,AJ468 Hub Pandan Indah,12,3.13422,101.7277009,Patchy rain possible,Morning,Peak,0,Normal,3,0,Thursday,VER7240,True,2,54015,UTAMA,31.4,5.0,420,0.0,2,69.8,0,3.134093,101.753511,0,1
4,Maluri,474,300,2025-01-02 10:51:00,3.13409,101.75351,AJ468 Hub Pandan Indah,12,3.13422,101.7277009,Patchy rain possible,Morning,Peak,0,Normal,3,0,Thursday,VER7240,True,2,49497,TEMPATAN,1.038,7.6,T351,0.0,3,3.7,0,3.134093,101.753511,1,1
4,Maluri,474,300,2025-01-02 11:04:00,3.1489235,101.6956276,MASJID JAMEK,17,3.13422,101.7277009,Cloudy,Morning,Non-Peak,0,Normal,3,0,Thursday,WB490G,False,2,54455,UTAMA,0.797,12.0,180,0.084,1,1.3,1,3.149428687,101.6961895,0,0
4,Maluri,474,300,2025-01-02 11:04:00,3.1489235,101.6956276,MASJID JAMEK,17,3.13422,101.7277009,Cloudy,Morning,Non-Peak,0,Normal,3,0,Thursday,WB490G,False,2,75118,UTAMA,0.65,18.0,190,0.084,2,1.1,0,3.149428687,101.6961895,0,0
4,Maluri,474,300,2025-01-02 11:04:00,3.1489235,101.6956276,MASJID JAMEK,17,3.13422,101.7277009,Cloudy,Morning,Non-Peak,0,Normal,3,0,Thursday,WB490G,False,2,69167,UTAMA,1.131,20.0,851,0.084,3,1.9,0,3.149428687,101.6961895,0,0
4,Maluri,474,300,2025-01-02 05:38:00,3.133892,101.7516751,Pandan Indah Depot,26,3.13422,101.7277009,Cloudy,Morning,Non-Peak,0,Normal,3,0,Thursday,VFH8704,False,1,9088,SS,5.564,8.0,AJ03,0.025,1,14.8,1,3.133901,101.751447,2,0
